# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 15:25:57 AEST 2019 [seed=1557725155661]
# -overwrite GSS_strict_random_het_rel1_sim_4.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
50000	-37881.307933099146	-546.2501357672421	-37335.0577973319	28.83136693974542	-23.83136693974542	491.4227006984904	266.53740279155073	0.16914997694207456	0.8171728291913345	0.0026583019879885144	0.0026583019879885144	-37335.0577973319	0.0	-541.3610672155847
55000	-37875.32963617231	-553.6621279238341	-37321.66750824848	30.90321419453293	-25.90321419453293	547.5272319734966	231.03305429916134	0.15675218811168512	0.8489016034984902	0.0023023103565553223	0.0023023103565553244	-37321.66750824848	0.0	-549.2487564184584
60000	-37879.12618843902	-573.3514500938066	-37305.774738345215	33.16855289959584	-28.168552899595838	655.273337291622	339.09499397836845	0.14764551980240914	0.906541965722037	0.001978862669985719	0.00197886266998572	-37305.774738345215	0.0	-567.8806823609902
65000	-37880.24808251045	-585.5515828520591	-37294.69649965839	39.056015533232845	-34.056015533232845	728.809461477729	346.25779456976636	0.14764551980240914	0.8743063679486406	0.0017416916665696663	0.0017416916665696656	-37294.69649965839	0.0	-580.2180055281978
70000	-37881.849516950955	-586.2403889385081	-37295.609128012446	40.22962357332521	-35.22962357332521	742.3206105950735	389.38649844172204	0.1313830665954343	0.8359165396309254	0.0016886204918114397	0.0016886204918114393	-37295.609128012446	0.0	-580.6090871847925
75000	-37881.93373896412	-579.1901331108226	-37302.7436058533	39.32115683619229	-34.32115683619229	696.7698130020293	264.5983654209751	0.1279036991932927	0.8537285939312828	0.0017734529612259593	0.0017734529612259584	-37302.7436058533	0.0	-574.7362059072467
80000	-37861.005062450466	-554.6180708922918	-37306.386991558174	32.403332152349314	-27.403332152349314	550.5870727242335	177.73642549928476	0.12050636272183524	0.8856865982153472	0.0022948159956776293	0.002294815995677629	-37306.386991558174	0.0	-550.7018397921272
85000	-37887.24527111489	-581.9905632270303	-37305.254707887856	39.52291231507165	-34.52291231507165	720.1372473094349	332.5412462839487	0.12711185017888038	0.923046533388515	0.0017428224001357951	0.0017428224001357932	-37305.254707887856	0.0	-576.7251850055261
90000	-37862.35909484637	-561.8108963451791	-37300.54819850119	33.34470417985807	-28.34470417985807	593.628458446069	247.4438701952939	0.13206432935233225	0.9142875307088445	0.002133917313597732	0.0021339173135977323	-37300.54819850119	0.0	-557.1995538316447
95000	-37881.73638306555	-577.2581899871077	-37304.478193078445	36.02549405783439	-31.025494057834393	682.462773778718	350.97160249930874	0.14516739501130416	0.8788527244451865	0.0018468895410024618	0.0018468895410024618	-37304.478193078445	0.0	-571.8176128131743
