# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 15:56:14 AEST 2019 [seed=1557726972298]
# -overwrite GSS_strict_ultra_het_rel0.1_sim_9.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
100000	-22161.78677379851	-373.4870472392536	-21788.299726559257	4.461067845893094	4.461067845893094	112.9474627699527	73.18656219723823	0.928741377876457	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8243177837087334	0.005	0.004999999999999999	-21788.299726559257	0.0	-365.57263448599923
105000	-22153.28692652677	-369.7832446224588	-21783.50368190431	4.243256034745153	4.243256034745153	109.45605709623372	74.82845762689438	1.1065086078731883	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.035690533418827	0.005	0.004999999999999994	-21783.50368190431	0.0	-361.25190018549097
110000	-22154.260818345905	-371.2282358742284	-21783.03258247168	4.1921981535025425	4.1921981535025425	109.79970393416458	69.10570745535288	0.9525998276563588	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0214754447650778	0.005	0.005	-21783.03258247168	0.0	-362.93645789650026
115000	-22159.998168291953	-367.0716430137069	-21792.926525278246	3.947738001959717	3.947738001959717	105.9746305952325	69.46303529402	1.1091162365844422	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0339708408885726	0.005	0.005000000000000001	-21792.926525278246	0.0	-358.594784556417
120000	-22170.99451662848	-374.3384181801628	-21796.65609844832	4.100986218589886	4.100986218589886	108.48609011712841	68.32826409439616	1.2861636341287042	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9576530376883037	0.005	0.005000000000000003	-21796.65609844832	0.0	-365.84849564372547
125000	-22167.90270340983	-368.1618823007804	-21799.740821109048	4.282633883912392	4.282633883912392	108.11411348121322	82.33293862037958	1.1967029564167555	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9103475298883464	0.005	0.005000000000000002	-21799.740821109048	0.0	-359.7159847123951
130000	-22157.049458267404	-367.59831234907847	-21789.451145918327	4.21838277886072	4.21838277886072	107.65404658783301	78.3937202744508	1.1369912432418068	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9367496120165977	0.005	0.005	-21789.451145918327	0.0	-359.1987144930709
135000	-22147.137010153485	-369.9436014160613	-21777.193408737425	4.003718938166801	4.003718938166801	108.22972480288136	61.69038106167705	0.943584241808076	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0198027990545406	0.005	0.005000000000000002	-21777.193408737425	0.0	-361.7383375795393
140000	-22165.639433519962	-373.4977256029511	-21792.14170791701	4.23071077338702	4.23071077338702	111.74228226366525	96.03039090872845	1.1243334591977574	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.1346191812135853	0.005	0.004999999999999999	-21792.14170791701	0.0	-364.5386796862508
145000	-22150.842546199	-371.8964095347597	-21778.946136664243	4.221761550513374	4.221761550513374	111.68575667208464	72.2905368358299	1.1092346316895945	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0578978431127604	0.005	0.005000000000000003	-21778.946136664243	0.0	-363.3433036624982
150000	-22161.24774055016	-371.9423368313045	-21789.305403718856	4.0648792088228936	4.0648792088228936	110.76717607841223	66.3331750946022	1.0431135122401987	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.098113971832984	0.005	0.005	-21789.305403718856	0.0	-363.4344934384642
155000	-22161.399217732553	-370.4618038481489	-21790.937413884403	3.973504384789279	3.973504384789279	109.25349907654433	83.73035005095943	1.1939785736810378	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8370024855226647	0.005	0.005000000000000003	-21790.937413884403	0.0	-362.15134661692485
160000	-22169.157675507005	-372.1522406976785	-21797.005434809325	4.077512602228869	4.077512602228869	110.10765671920767	81.7602409415865	1.25032954022307	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.1214451726892098	0.005	0.004999999999999998	-21797.005434809325	0.0	-363.23624821667306
165000	-22151.421482034533	-371.75839932357337	-21779.66308271096	4.25955061767238	4.25955061767238	109.53374811766285	95.39558872392955	1.215939229475752	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0252231226662238	0.005	0.005000000000000001	-21779.66308271096	0.0	-362.9328877755378
170000	-22159.506986333177	-371.50252655850437	-21788.004459774675	3.936393870416131	3.936393870416131	109.72814613713267	85.36774844194801	1.125695878179331	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0788915119155709	0.005	0.005000000000000003	-21788.004459774675	0.0	-362.7601999860863
175000	-22148.33938850678	-370.20041139446874	-21778.138977112314	4.121279223654229	4.121279223654229	108.49003612097806	57.84596362259427	1.063092002642023	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0163117302874884	0.005	0.004999999999999998	-21778.138977112314	0.0	-361.9210661090377
180000	-22155.559657672336	-366.98888553627125	-21788.570772136067	4.096562481951672	4.096562481951672	105.70297990951812	58.012292938490084	0.9791501158634284	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9478542100503996	0.005	0.005000000000000002	-21788.570772136067	0.0	-358.92873388493405
185000	-22158.132219281513	-368.88164292925177	-21789.25057635226	4.065278103964189	4.065278103964189	105.15686144556999	55.275566968552084	1.0854002673565455	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.1667300978164679	0.005	0.005000000000000001	-21789.25057635226	0.0	-360.3048566105887
190000	-22147.9221537319	-367.1550486166186	-21780.76710511528	4.055654203260179	4.055654203260179	104.74525757808011	87.84519930909039	1.1987910220428235	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8785713088698864	0.005	0.005000000000000001	-21780.76710511528	0.0	-358.715492797757
195000	-22147.586217095828	-366.1431001464207	-21781.443116949406	3.8719005114495704	3.8719005114495704	103.01869707993211	50.41725144615213	1.016860057819853	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0184290669510734	0.005	0.004999999999999998	-21781.443116949406	0.0	-357.9800392542491
200000	-22153.75639369092	-366.3115347670647	-21787.444858923856	3.9949472684265266	3.9949472684265266	104.67593397334272	70.78033700565855	1.126971959372208	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9030491945143638	0.005	0.0049999999999999975	-21787.444858923856	0.0	-358.0654908626191
205000	-22171.61487918211	-368.5976409560552	-21803.017238226057	4.483287102138369	4.483287102138369	108.41102524211414	68.00298923250206	1.133148909730825	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.828925706882586	0.005	0.004999999999999999	-21803.017238226057	0.0	-360.5214405542461
210000	-22163.229587460868	-368.80126070285297	-21794.428326758014	4.00178976420464	4.00178976420464	106.65345416644745	91.66799391307957	1.2130124565742006	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9023761333213087	0.005	0.005	-21794.428326758014	0.0	-360.26164585451727
215000	-22162.016918065434	-366.222372982554	-21795.79454508288	4.139735586826047	4.139735586826047	104.14208335201957	69.2887927432423	1.0242916340121306	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.030035170381344	0.005	0.005000000000000003	-21795.79454508288	0.0	-357.8399528943587
220000	-22152.982222716448	-366.5245318052539	-21786.457690911193	4.309730371892474	4.309730371892474	103.56383953421708	57.09016789645787	1.1543296509399845	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8788870055268199	0.005	0.005000000000000004	-21786.457690911193	0.0	-358.4363562783076
225000	-22146.266319817256	-367.09223735717484	-21779.174082460082	3.9983546915032337	3.9983546915032337	105.18673806314702	69.3791795618696	1.0337169543263711	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9906268833858527	0.005	0.004999999999999993	-21779.174082460082	0.0	-358.77830465447
230000	-22162.594081323838	-370.56731001533876	-21792.026771308498	4.111638144251115	4.111638144251115	109.38017692212465	80.33374554436453	1.2268927947710597	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.98332177399289	0.005	0.005	-21792.026771308498	0.0	-361.9652660311502
235000	-22166.09706315398	-370.68134275109605	-21795.41572040288	4.187403035302412	4.187403035302412	110.98964103084292	75.13428230860974	1.1185846321938104	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0026567227572116	0.005	0.0049999999999999975	-21795.41572040288	0.0	-362.20093166431366
240000	-22156.329649367985	-376.53296205653464	-21779.79668731145	4.599086794839224	4.599086794839224	110.98562276672058	98.39251442846184	1.3225637335926033	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.1078419626664924	0.005	0.004999999999999998	-21779.79668731145	0.0	-367.4056190673363
