# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 14:22:03 AEST 2019 [seed=1557721322273]
# -overwrite GSS_strict_dates_het_rel0.5_sim_9.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
65000	-27253.969435656043	-394.07830384812434	-26859.89113180792	6.837485380403761	-1.837485380403761	162.19664235741013	86.04236843270338	0.5950498516558873	0.9058764355753174	0.004889393794552318	0.004889393794552316	-26859.89113180792	0.0	-390.0452472516537
70000	-27253.564443004816	-399.69264902561997	-26853.871793979197	7.184325768555204	-2.1843257685552038	173.91419662662344	122.77455943952245	0.6274478168562574	0.8297145405461215	0.004363318012977688	0.004363318012977689	-26853.871793979197	0.0	-395.53819073434437
75000	-27269.5083522587	-392.6962896915843	-26876.812062567118	7.062031911472326	-2.0620319114723262	159.81062757527667	80.42763795390876	0.5747617512260648	0.9565221893464929	0.004944151459167369	0.004944151459167366	-26876.812062567118	0.0	-388.62831383618203
80000	-27247.754176493134	-391.8964957782307	-26855.857680714904	6.771467601077227	-1.7714676010772266	158.37244106964593	83.42516709855107	0.5510737417637293	0.9244567411503664	0.004843963144931128	0.0048439631449311285	-26855.857680714904	0.0	-387.9150572579712
85000	-27245.2287058089	-394.495049851398	-26850.7336559575	6.57628883461131	-1.5762888346113098	162.77534002071897	90.38491039391072	0.6031194515621576	0.9030600862275494	0.004567963425322082	0.00456796342532208	-26850.7336559575	0.0	-390.5014035854792
90000	-27256.057146835323	-392.891048313195	-26863.166098522128	6.958216492133784	-1.9582164921337837	160.62470383189066	115.74627083064439	0.7362987164590986	0.9522108909282853	0.0049221800345798815	0.004922180034579881	-26863.166098522128	0.0	-388.32124344838746
95000	-27241.58089983953	-391.2321452473818	-26850.34875459215	6.624978329396601	-1.6249783293966011	158.3043953799143	91.01356886946633	0.6284744830206757	0.9518039952820507	0.0049173285660666114	0.004917328566066608	-26850.34875459215	0.0	-387.0237120321447
100000	-27252.1632611658	-395.70443192684786	-26856.458829238953	6.65293732790944	-1.6529373279094397	161.4488078473943	164.3470685280947	0.8022385792390831	0.934458447598075	0.00464912372291636	0.004649123722916363	-26856.458829238953	0.0	-390.6893074741132
105000	-27249.606582235414	-387.22605600480824	-26862.380526230605	6.8089998899811075	-1.8089998899811075	149.79574616163055	111.13425550469636	0.7879830051094758	0.8602394389271034	0.00513503164038223	0.005135031640382233	-26862.380526230605	0.0	-382.79998151566366
110000	-27237.241293612173	-383.9074405368165	-26853.333853075357	5.970476512710052	-0.9704765127100519	143.12007303719898	95.6574868956642	0.6402685700658395	0.8230913605146806	0.005481783546955571	0.005481783546955571	-26853.333853075357	0.0	-379.7873303441099
