# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 16:16:48 AEST 2019 [seed=1557728207493]
# -overwrite GSS_strict_ultra_het_rel1_sim_8.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-154786.76452552262	-113.4869023553817	-154673.27762316723	3.4048796199692823	3.4048796199692823	14.713547371333972	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.005000000000000001	-154673.27762316723	0.0	-107.87173216939361
5000	-63138.38290127949	-484.69035927924176	-62653.692542000244	7.665039992716752	7.665039992716752	219.85273754608664	297.3714083389495	0.8879724211482873	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.17849657729625232	0.005	0.005000000000000001	-62653.692542000244	0.0	-475.8665094341234
10000	-46039.714630872964	-518.0806571067459	-45521.63397376622	13.517757157520993	13.517757157520993	262.3659082318212	241.90081351446668	0.5532512601804371	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.551582018927315	0.005	0.004999999999999994	-45521.63397376622	0.0	-509.4000634875781
15000	-42563.57872463707	-511.74019458790616	-42051.838530049165	15.429900075128803	15.429900075128803	274.5590657017801	134.2614341684998	0.358483766608207	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6988607206378906	0.005	0.0049999999999999975	-42051.838530049165	0.0	-504.0362048523491
20000	-41262.99171472002	-507.40440160085194	-40755.58731311917	16.581994756744866	16.581994756744866	266.5059606192529	106.85133730017843	0.2771181472498192	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7756356150239256	0.005	0.004999999999999998	-40755.58731311917	0.0	-499.9023286645644
25000	-41169.20011718019	-507.9307691389679	-40661.26934804122	16.84415419082166	16.84415419082166	268.28258209266346	91.42198024382273	0.2790926614542899	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7884498668996512	0.005	0.0049999999999999975	-40661.26934804122	0.0	-500.555386755288
30000	-41146.26016956282	-506.9627977459227	-40639.297371816894	16.8015723171597	16.8015723171597	267.7546449535068	87.32383871387611	0.25866650924234014	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.770728551952512	0.005	0.0049999999999999975	-40639.297371816894	0.0	-499.6842655596485
35000	-41142.55509345321	-509.31545490074376	-40633.23963855246	16.738010728458296	16.738010728458296	273.5229606781128	83.80355573794904	0.24335145748720133	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7900387342077234	0.005	0.005000000000000004	-40633.23963855246	0.0	-502.04882023147354
40000	-41135.57850561393	-507.80443475155727	-40627.77407086237	17.806251240778874	17.806251240778874	271.98306093495506	90.88291501464965	0.2429319999103805	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8075051235668734	0.005	0.004999999999999998	-40627.77407086237	0.0	-500.4324931683785
45000	-41130.9699278681	-508.3994703040227	-40622.57045756408	17.809688731386455	17.809688731386455	273.5838634009307	87.61848315826316	0.2290558149966766	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7732900495494074	0.005	0.005	-40622.57045756408	0.0	-501.1424793723565
