# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri May 10 16:42:11 AEST 2019 [seed=1557470530614]
# -overwrite GSS_strict_dates_utlra_clock_sim_9.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
50000	-5821.716017749895	-129.74144797636993	-5691.974569773525	3.5650040621115866	-0.6584961027550564	32.54084405210622	6.610511566608927	0.9520489677347936	0.02730674781203467	8.392355864938484E-5	8.39235586493848E-5	-5691.974569773525	0.0	-129.92246443994839
55000	-5810.506248991184	-110.61410501784	-5699.892143973344	3.1333094016889635	-0.22680144233243338	29.758686429175324	5.2195019135192045	0.9975232266140976	0.07218557871351453	6.388586315393418E-5	6.388586315393415E-5	-5699.892143973344	0.0	-110.76634608896308
60000	-5781.664327012248	-82.71014529662754	-5698.9541817156205	3.0110770307291306	-0.10456907137260041	25.894647506622277	6.651007922010332	1.2805141811573686	0.05275053510504979	1.4268716145978067E-4	1.4268716145978075E-4	-5698.9541817156205	0.0	-82.13083615021249
65000	-5760.89643347645	-66.49554764011553	-5694.400885836334	2.965295869412991	-0.058787910056461	24.7240035570928	5.748408380644286	1.4061326055798151	0.09315112967134537	1.228065078837109E-4	1.22806507883711E-4	-5694.400885836334	0.0	-65.77139485571125
70000	-5761.553967641577	-65.55815915916136	-5695.995808482416	2.9108397891725577	-0.004331829816027533	26.08512185653632	9.675459395211055	1.6464837966431027	0.3163916660585361	1.961689092387375E-4	1.9616890923873756E-4	-5695.995808482416	0.0	-63.89843501564775
75000	-5760.30260888267	-62.41025196345279	-5697.8923569192175	3.0569182599772633	-0.15041030062073313	24.91513959232673	11.126607409456824	1.8068688520057052	0.10019875110146426	7.187317047595033E-5	7.187317047595035E-5	-5697.8923569192175	0.0	-61.490435250111446
80000	-5721.342591562114	-21.354997058852987	-5699.987594503261	2.9261478423893967	-0.019639883032866567	20.756855625584006	5.163193989902221	1.582244627017291	0.049750660065682885	1.6220560929836747E-4	1.622056092983674E-4	-5699.987594503261	0.0	-20.32047837347982
85000	-5752.31241920761	-57.54607358658865	-5694.766345621021	3.015957613030863	-0.10944965367433301	23.66319868432113	5.9895125465833905	1.2892084223837874	0.11403219154554518	1.9810974939684677E-4	1.9810974939684674E-4	-5694.766345621021	0.0	-56.63198783344427
90000	-5740.694251821781	-42.23888162833495	-5698.4553701934465	2.9631746963288683	-0.05666673697233815	22.60411646239587	6.827909522585222	1.615028221854258	0.283586693159452	1.8366743578325075E-4	1.8366743578325092E-4	-5698.4553701934465	0.0	-40.666972097908335
95000	-5729.789381965237	-36.38656146710076	-5693.402820498137	2.944910738264854	-0.038402778908323665	22.95677203962859	7.041323573152612	1.6594158120018185	0.14561283758810475	1.6759591647995343E-4	1.6759591647995333E-4	-5693.402820498137	0.0	-35.09790800696493
100000	-5717.787762837238	-26.511626621042872	-5691.2761362161955	2.9098497870275195	-0.003341827670989339	22.566813457446738	11.921944062910091	1.9859068979503716	0.04191171434892681	1.0105837829756167E-4	1.0105837829756177E-4	-5691.2761362161955	0.0	-25.30100745986543
105000	-5712.7369684023	-11.226480425642354	-5701.510487976658	2.9095151504012056	-0.0030071910446753947	22.115831601832312	9.423963999388794	2.1014422949646496	0.009967156556798402	2.479641815609039E-4	2.479641815609038E-4	-5701.510487976658	0.0	-9.527105097361936
110000	-5697.199766033164	0.9502215313235496	-5698.149987564488	2.9076346352984435	-0.001126675941913291	22.39533248340323	13.005401434252452	2.334813983968071	0.008692379549732643	2.3693031546942776E-4	2.369303154694277E-4	-5698.149987564488	0.0	2.887017024080494
115000	-5688.880156264327	5.765014775479841	-5694.645171039807	2.9325049735055915	-0.025997014149061304	20.642612188656773	9.045139071327629	2.1194589193496056	0.009532707327447045	1.505142818093577E-4	1.5051428180935786E-4	-5694.645171039807	0.0	7.260227599713998
120000	-5703.729310008802	-7.877900800928485	-5695.851409207873	2.9160015198723155	-0.009493560515785315	21.42353613822428	12.843118454929694	2.255812168187819	0.00879472733232968	2.1729608291141473E-4	2.172960829114147E-4	-5695.851409207873	0.0	-6.043247531267462
125000	-5673.406256218652	26.22126723565716	-5699.627523454309	2.9139151347665426	-0.0074071754100124565	17.98775973984355	7.9421207110655265	2.1482363697005504	0.050579505604019866	1.578968591213394E-4	1.578968591213394E-4	-5699.627523454309	0.0	27.90882914304531
130000	-5677.071668544978	18.894223724520508	-5695.965892269498	2.933393690803749	-0.02688573144721884	18.755997506949697	9.363664978710387	2.215286678368896	0.07075967951538416	1.308601587260728E-4	1.3086015872607282E-4	-5695.965892269498	0.0	20.588208521477654
135000	-5693.2028580742135	0.9831889017634095	-5694.186046975977	2.939574665663369	-0.03306670630683861	19.520165349208153	7.199195277093493	1.9101631101442755	0.04632085765575424	1.9147538666141773E-4	1.914753866614175E-4	-5694.186046975977	0.0	2.4731587708525513
