# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri May 10 20:28:03 AEST 2019 [seed=1557484082227]
# -overwrite GSS_strict_ultra_utlra_clock_sim_10.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
50000	-5451.15249958086	132.76270263442282	-5583.915202215283	0.11494410203593076	0.11494410203593076	0.7004324878060914	0.08684580892048062	2.995115056272823	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.4490770806366726	0.005	0.005	-5583.915202215283	0.0	143.2620104960463
55000	-5439.634074644254	146.49902475198795	-5586.133099396242	0.13213376077854666	0.13213376077854666	0.6842201199189579	0.07633351656928028	-0.6574534395896023	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.34831533055283587	0.005	0.0049999999999999975	-5586.133099396242	0.0	152.459042373837
60000	-5421.07873140629	159.40735155026462	-5580.486082956555	0.07757514484634621	0.07757514484634621	0.5568564132684904	0.05950419843638586	0.2517888116966105	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7598096627796364	0.005	0.005000000000000001	-5580.486082956555	0.0	165.78452491549297
65000	-5400.754980350144	180.2123263390675	-5580.967306689212	0.07637550726600044	0.07637550726600044	0.4811347961400634	0.06077010789138976	0.4899605333411923	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6404670273495213	0.005	0.005000000000000002	-5580.967306689212	0.0	186.58899881417472
70000	-5394.486758167681	184.2063395415567	-5578.693097709238	0.06140929672710671	0.06140929672710671	0.3978685936599381	0.056715295504269785	-1.4786323555231309	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2781916923306849	0.005	0.0049999999999999975	-5578.693097709238	0.0	190.84709262068435
75000	-5404.179204511156	176.68880226519016	-5580.868006776346	0.06044779221341953	0.06044779221341953	0.4507492453878163	0.062501413874874	2.6450373992353153	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.253716433802562	0.005	0.0049999999999999975	-5580.868006776346	0.0	184.44706773215745
80000	-5412.214383158819	167.27211677950137	-5579.486499938321	0.05714716092421651	0.05714716092421651	0.5158182184371107	0.06122671033255881	0.05793914380711729	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5992037804862747	0.005	0.005000000000000001	-5579.486499938321	0.0	173.13424593737247
85000	-5398.777336195523	181.98986125919274	-5580.767197454716	0.10062898294553616	0.10062898294553616	0.5227439354884315	0.053063295215566096	-0.8343232778386562	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.13894911590379727	0.005	0.005000000000000002	-5580.767197454716	0.0	187.70778358777923
90000	-5375.93848572481	199.47313469248044	-5575.41162041729	0.06114363352706753	0.06114363352706753	0.3858348592123176	0.04663950265544173	-0.554919611736163	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09982825729611132	0.005	0.005000000000000002	-5575.41162041729	0.0	204.83334739982348
95000	-5341.640599938375	234.04053662810995	-5575.681136566485	0.04183502970532378	0.04183502970532378	0.2420139698957635	0.029903809357263347	-0.6724223200447168	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06390810275143323	0.005	0.004999999999999998	-5575.681136566485	0.0	239.4462443777392
100000	-5321.1489846645845	251.34686809941593	-5572.495852764	0.060866602115221144	0.060866602115221144	0.2949666527604374	0.027890722181676663	-0.9960545641305201	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.037047432132549456	0.005	0.0049999999999999975	-5572.495852764	0.0	257.02246662102147
105000	-5322.656622431884	253.99882418607518	-5576.65544661796	0.06371307753483775	0.06371307753483775	0.287913352381246	0.020290389240125703	2.123469573743799	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0035621583804445827	0.005	0.0049999999999999975	-5576.65544661796	0.0	260.73479116646035
110000	-5339.285600121156	235.75418906111517	-5575.039789182271	0.0552197862076156	0.0552197862076156	0.3053697740142788	0.03328828046845723	0.10773235212168641	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.004378484184269197	0.005	0.005	-5575.039789182271	0.0	240.47618145039817
115000	-5312.064293080817	263.5962610341094	-5575.6605541149265	0.028935747799699846	0.028935747799699846	0.20478601101679528	0.021034419048112925	-0.29425044835707825	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012007605289096248	0.005	0.004999999999999999	-5575.6605541149265	0.0	268.51990722322324
120000	-5302.859710241854	275.00046051455814	-5577.860170756412	0.03379279424368044	0.03379279424368044	0.18383711954298043	0.023697966647957557	0.6452035166650665	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.13863773401139015	0.005	0.004999999999999998	-5577.860170756412	0.0	280.52834666490054
125000	-5343.476504324048	235.1219174998582	-5578.5984218239055	0.017735937670800284	0.017735937670800284	0.19862664349300624	0.02899378639411611	1.3965753519231259	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.21880865145512118	0.005	0.004999999999999998	-5578.5984218239055	0.0	241.5615702785436
130000	-5333.7102545859925	240.43042530311556	-5574.1406798891085	0.015362031152550134	0.015362031152550134	0.19185764872618272	0.02636891807113997	-0.24916721769389438	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.926893388763185	0.005	0.005000000000000003	-5574.1406798891085	0.0	247.13881317350462
135000	-5337.551108816879	240.29841847537173	-5577.84952729225	0.032371301406864346	0.032371301406864346	0.23260113694787193	0.030107677171966836	3.344666289604203	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0325060865007925	0.005	0.004999999999999999	-5577.84952729225	0.0	250.31356820073734
140000	-5331.909214775797	240.50092916931084	-5572.410143945108	0.021421936599852115	0.021421936599852115	0.2129798161312309	0.02759632115508629	-1.135338400346311	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.6983890233628318	0.005	0.005000000000000001	-5572.410143945108	0.0	249.63849176558244
145000	-5341.258586521869	233.63055169437777	-5574.8891382162465	0.054443447096781304	0.054443447096781304	0.3242956668751432	0.03172640300433293	0.022106176450217285	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.4591567611143424	0.005	0.005000000000000004	-5574.8891382162465	0.0	239.1764588430748
150000	-5346.362293300445	228.67212102147485	-5575.03441432192	0.06605198122204578	0.06605198122204578	0.31842768101325036	0.037659730934139074	0.6703848138580657	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0177042271031886	0.005	0.005000000000000003	-5575.03441432192	0.0	235.98346107283672
155000	-5345.430012189075	229.14740440506534	-5574.57741659414	0.030374617059361623	0.030374617059361623	0.24990501988609337	0.036780975291035994	-1.1465882628507982	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.159076085208255	0.005	0.005	-5574.57741659414	0.0	237.21768283407366
160000	-5334.39228786163	239.5984639987797	-5573.9907518604105	0.035392462824964534	0.035392462824964534	0.24060440599129787	0.0282414559834974	1.329836890189555	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1785395616270292	0.005	0.004999999999999999	-5573.9907518604105	0.0	245.89083261277122
165000	-5334.193900185051	240.76595911743115	-5574.959859302482	0.0210429808178772	0.0210429808178772	0.18419058446650588	0.03040721622955393	0.30562455343683204	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1803347188669141	0.005	0.004999999999999999	-5574.959859302482	0.0	246.0377273667522
170000	-5334.474577827412	241.84449695346945	-5576.319074780881	0.056299960301418754	0.056299960301418754	0.27037553960437566	0.028525457312550073	-0.921319951813403	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.18150645406646498	0.005	0.0049999999999999975	-5576.319074780881	0.0	247.734285253977
175000	-5333.248451751453	243.5086329058487	-5576.757084657302	0.05021760337202551	0.05021760337202551	0.265603044136456	0.029359161447625737	1.0906661708679941	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.10851274430020237	0.005	0.005000000000000001	-5576.757084657302	0.0	249.42178834291968
180000	-5341.39052092088	233.92063668844966	-5575.31115760933	0.03419469567205934	0.03419469567205934	0.25023375585931107	0.03142039089037799	1.1629474808844478	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03236478482809971	0.005	0.005	-5575.31115760933	0.0	239.7537981288873
185000	-5350.534441042599	223.86005743022383	-5574.394498472822	0.022948259093293743	0.022948259093293743	0.243683425898423	0.034630227807415453	0.6963134408352516	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.018182928441567006	0.005	0.004999999999999998	-5574.394498472822	0.0	229.19825321620837
190000	-5334.425429413267	239.2718993048234	-5573.697328718091	0.035360590892888566	0.035360590892888566	0.22998505050298498	0.033283818078493996	0.5083177854412169	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06555380918298992	0.005	0.004999999999999997	-5573.697328718091	0.0	244.51682773279947
195000	-5342.856456456673	233.18931781121765	-5576.045774267891	0.036005585280299256	0.036005585280299256	0.2661860990235279	0.031178713928295666	1.2859110888887488	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.19303868039522756	0.005	0.005000000000000002	-5576.045774267891	0.0	239.46678823402422
200000	-5361.424889382931	216.86698034038298	-5578.2918697233135	0.055822793837726856	0.055822793837726856	0.32011858769588963	0.03845489589605681	2.589398604542409	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.19977475340778272	0.005	0.004999999999999997	-5578.2918697233135	0.0	224.461483186688
205000	-5373.375847047669	202.60713316636674	-5575.982980214036	0.039405611482702246	0.039405611482702246	0.2768783128087291	0.03896096460500749	1.2927000802910027	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.085911594194974	0.005	0.004999999999999997	-5575.982980214036	0.0	208.67721623068184
210000	-5394.449658037994	183.27438235228354	-5577.724040390277	0.03708064685863069	0.03708064685863069	0.3495049631899827	0.05231005229279617	3.770286246824309	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.17175123092033184	0.005	0.004999999999999999	-5577.724040390277	0.0	191.99386434745952
215000	-5407.845738818352	172.41533736930865	-5580.261076187661	0.027480028456709178	0.027480028456709178	0.34920409075078945	0.049568137932486975	0.6074720216233565	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6262139913601846	0.005	0.005	-5580.261076187661	0.0	178.88090324101978
