# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri May 10 18:39:25 AEST 2019 [seed=1557477564645]
# -overwrite GSS_strict_random_utlra_clock_sim_6.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-11553.48014402033	-100.17376276971937	-11453.30638125061	6.416591377240679	-3.437904763977119	30.51280105838821	1.0	0.0	0.5	0.25	0.25	-11453.30638125061	0.0	-88.760247707977
5000	-5661.217082364834	-11.118598632905861	-5650.098483731928	3.2814000033056723	-0.3027133900421122	16.751694456504868	1.0554801836884706	0.6257713676865959	0.11351811471094743	1.7645704847087476E-4	1.764570484708748E-4	-5650.098483731928	0.0	-10.805211389189028
10000	-5685.78259229945	-51.939730043630874	-5633.8428622558185	4.338206096556049	-1.3595194832924888	22.542784160453376	1.2093837429989374	0.4333317798316685	0.10842418779126693	1.222885883942561E-4	1.222885883942561E-4	-5633.8428622558185	0.0	-52.159435121523956
15000	-5684.938714316784	-63.40795598523008	-5621.530758331554	3.8676246127329255	-0.8889379994693654	23.466028922523964	1.04394897756026	0.1723015745255656	0.07213446502415707	4.6010890917882316E-5	4.60108909178823E-5	-5621.530758331554	0.0	-64.47342428305326
20000	-5697.182934854472	-86.11349771548552	-5611.069437138986	3.9944915189835704	-1.0158049057200103	26.222819945217456	1.3119601581916522	0.1514256738888784	0.3792455658489303	1.024376939906308E-4	1.0243769399063076E-4	-5611.069437138986	0.0	-86.23668288904292
25000	-5710.672244786473	-100.17012506284325	-5610.50211972363	3.9557666247124557	-0.9770800114488956	27.404050862428125	1.828483050845818	0.2351048005311236	0.14470198285415406	9.571522826677618E-5	9.571522826677618E-5	-5610.50211972363	0.0	-100.72958534784998
30000	-5704.76894807816	-105.69889175200136	-5599.070056326159	3.9563985666451567	-0.9777119533815966	28.39812593668652	2.6984926273382497	0.3976255671435478	0.32884788547600424	4.5664034313950703E-5	4.566403431395069E-5	-5599.070056326159	0.0	-106.10801494576863
35000	-5715.231483131318	-115.7941417836171	-5599.437341347701	3.6638870038125773	-0.6852003905490172	30.202072468549577	2.6503219533919253	0.3395398955170563	0.09083224400657539	3.085477586037268E-5	3.0854775860372666E-5	-5599.437341347701	0.0	-116.96503195213393
40000	-5693.698907800268	-97.46821313685479	-5596.2306946634135	4.532890049933031	-1.554203436669471	28.89760168057377	1.665671188973	0.21515439286556726	0.09898776091437494	4.3228621791226546E-5	4.3228621791226506E-5	-5596.2306946634135	0.0	-98.56602535061388
45000	-5695.286731812709	-97.86360605917004	-5597.423125753539	4.344493216866838	-1.365806603603278	28.525970685490964	1.7136187046658558	0.17737862177759856	0.10021581513278706	3.488016250869205E-5	3.488016250869209E-5	-5597.423125753539	0.0	-99.09733311284188
