"strict_dates","ucld_dates","strict_ultra","ucld_ultra","strict_random","ucld_random"
"het_clock",6,5,2,4,1,3
"het_rel0.1",6,5,2,4,1,3
"het_rel0.5",4.77777777777778,6,2,4.11111111111111,1,3.11111111111111
"het_rel1",3,6,2,5,1,4
"ultra_clock",3.33333333333333,1.77777777777778,6,5,3,1.88888888888889
"ultra_rel0.1",3.44444444444444,1.66666666666667,6,5,2.22222222222222,2.66666666666667
"ultra_rel0.5",1.77777777777778,4.66666666666667,3.33333333333333,6,1.22222222222222,4
"ultra_rel1",1.44444444444444,4.55555555555556,3,6,1.55555555555556,4.44444444444444
